Disease,Hindi Name,Marathi Name,Symptoms,Diagnosis & Tests,Symptom Severity,Duration of Treatment,Medical History,Current Medications,Risk Factors,Environmental Factors,Sleep Patterns,Stress Levels,Physical Activity Levels,Family History,Dietary Habits,Allergies (Food/Env),Seasonal Variation,Age Group,Gender,Occupation and Lifestyle,Cultural Preferences,Herbal/Alternative Remedies,Ayurvedic Herbs,Formulation,Doshas,Constitution/Prakriti,Diet and Lifestyle Recommendations,Yoga & Physical Therapy,Medical Intervention,Prevention,Prognosis,Complications,Patient Recommendations,Scientific Research
Strongyloidiasis,स्ट्रॉन्गाइलोडियासिस,स्ट्रॉन्गाइलोडियासिस,"Abdominal pain, diarrhea, skin rashes, cough","Stool test, Blood tests",Severe,1-2 weeks,"Parasitic infection, Poor sanitation",Antiparasitic drugs,"Contaminated soil, Poor hygiene","Poor sanitation, Contaminated water",Irregular sleep,High stress,Low,No family history,"Hydrating, Low-sugar diet",None,Rainy season,"Adult, Children",Both genders,Avoids contaminated water,Avoids unsanitary areas,None,None,"Neem leaves (5-6), Garlic (2 cloves), Water (200ml)","Vata, Pitta",Vata-Kapha,Avoid contaminated water; increase fiber intake to support digestion.,None,Antiparasitic drugs (Ivermectin),Avoid exposure to contaminated soil,Treatable with antiparasitics,"Malnutrition, Organ damage","Use proper sanitation, take prescribed drugs",Research on treatment efficacy
Talaromycosis,टालारोमायकोसिस,टालारोमायकोसिस,"Fever, chest pain, difficulty breathing, skin lesions","Blood tests, Fungal cultures",Moderate to Severe,2-4 weeks,"Fungal infection, Immunocompromised",Antifungal drugs,"Immunocompromised state, Exposure to contaminated soil","Hot, humid climate, Immunocompromised",Irregular sleep,High stress,Low,No family history,"Balanced, High-nutrient diet",None,"Summer, Monsoon","Adult, Elderly",Both genders,Avoids fungal exposure,Uses mild skincare,None,None,"Turmeric (1/2 tsp), Garlic (2 cloves), Warm water (200ml)","Vata, Kapha",Vata-Kapha,"Focus on immunity; avoid damp, moldy environments.",None,"Antifungal drugs (e.g., Amphotericin B)",Use protective clothing when in contact with soil,Treatable with antifungals,"Respiratory failure, Organ damage","Seek medical attention, avoid exposure",Studies on antifungal resistance
Tay-Sachs Disease,टे-सैक्स रोग,टे-सैक्स रोग,"Progressive loss of motor skills, seizures, blindness","Genetic testing, Enzyme activity test",Severe,Lifelong care,"Genetic, Nervous system disorder","Symptom management, Supportive care",Genetic mutation (Autosomal recessive),"Genetic, Early onset",Irregular sleep,High stress,Low,Family history of genetic diseases,"Low-fat, High-protein diet",None,All seasons,Children,Both genders,Requires special care,Avoids stress,None,None,"Brahmi (2g), Ashwagandha (5g), Warm water (200ml)","Vata, Pitta",Vata-Prakriti,"Support cognitive and motor function; provide a balanced, nutritious diet.",None,"Supportive care, Genetic counseling",Genetic counseling,"Fatal, typically by age 4",Neurological deterioration,"Early genetic screening, supportive care",Ongoing research on gene therapy
Tendinitis,टेंडिनाइटिस,टेंडिनायटिस,"Pain, swelling, and stiffness in tendons","Physical Exam, MRI, Ultrasound",Moderate to Severe,1-6 weeks,"Overuse, Repetitive movement","Anti-inflammatory drugs, Rest","Repetitive Motion, Age, Overuse","Repetitive strain, Physical activity",Irregular sleep,High stress,Moderate to High,No family history,"Low-fat, High-protein diet",None,All seasons,"Adult, Elderly",Both genders,Requires physical therapy,Avoids repetitive strain,"Herbal Remedies, Ice, Massage",None specific,"Ginger (2g), Turmeric (1/2 tsp), Warm water (200ml)","Vata, Pitta",Vata-Kapha,Focus on joint health; include anti-inflammatory foods like fish and turmeric.,"Stretching, Strengthening Exercises",Anti-inflammatory Medications,"Avoid Overuse, Stretching, Warm-Up",Can Be Managed with Treatment,"Chronic Pain, Limited Mobility","Rest, Ice, Avoid Repetitive Motion",Research on Tendinitis Treatment
Tetanus,टेटनस,टेटनस,"Muscle stiffness, spasms, difficulty swallowing","Physical Exam, Blood Tests",Severe,1-2 weeks,"Injury, Poor hygiene","Tetanus vaccine, Antibiotics","Wounds, Contaminated Objects","Poor hygiene, Puncture wounds",Irregular sleep,High stress,Low,No family history,"Balanced, High-protein diet",None,All seasons,All ages,Both genders,Requires wound care,Avoids exposure to dust,None specific,None specific,"Garlic (2 cloves), Neem leaves (5-6), Warm water (200ml)","Vata, Kapha",Vata-Kapha,Maintain a clean environment; avoid injuries; focus on immune health.,None specific,"Tetanus Antitoxin, Antibiotics","Vaccination, Clean Wounds",Can Be Prevented with Vaccination,"Muscle Spasms, Respiratory Issues","Vaccination, Clean Wounds",Research on Tetanus Treatment
Thalassemia,थैलेसिमिया,थॅलेसिमिया,"Fatigue, pale skin, enlarged spleen, slow growth","Blood Tests, Hemoglobin Electrophoresis",Severe,Lifelong,"Genetic, Blood disorder","Blood transfusions, Iron chelation","Genetic Mutations, Family History","Genetic, Anemia",Irregular sleep,Moderate stress,Low,Family history of thalassemia,"Low iron, High-protein diet",None,All seasons,"Children, Adults",Both genders,Requires blood transfusions,Avoids stress,None specific,None specific,"Fenugreek (3g), Triphala (1 tsp), Warm water (200ml)","Vata, Pitta",Vata-Kapha,"Maintain iron levels; focus on a nutrient-rich diet, including leafy greens.",None specific,"Blood Transfusion, Iron Chelation","Genetic Counseling, Regular Monitoring",Can Be Managed with Treatment,"Organ Damage, Iron Overload","Regular Monitoring, Blood Transfusions",Research on Thalassemia Treatment
Toxocariasis,टोक्सोकारियासिस,टोक्सोकारियासिस,"Fever, abdominal pain, coughing, rash","Blood Tests, Imaging",Moderate to Severe,1-6 months,"Parasitic infection, Pet contact",Antiparasitic drugs,Contact with Infected Animals,"Pet contact, Poor hygiene",Irregular sleep,High stress,Low,No family history,"Balanced, High-fiber diet",Pet allergens,All seasons,Children,Both genders,Avoids contact with pets,Avoids unclean areas,None specific,None specific,"Neem leaves (5-6), Turmeric (1/2 tsp), Warm water (200ml)",Pitta,Pitta-Prakriti,Avoid exposure to contaminated soil; focus on digestive health.,None specific,Anthelmintic Medications,"Good Hygiene, Avoid Animal Feces",Can Be Managed with Medication,"Organ Damage, Eye Issues","Avoid Animal Feces, Good Hygiene",Research on Toxocariasis Treatment
Toxoplasmosis,टोक्सोप्लास्मोसिस,टोक्सोप्लास्मोसिस,"Flu-like symptoms, muscle pain, rash","Blood Tests, Serology Tests",Severe,1-2 months,"Parasitic infection, Cat contact",Antiparasitic drugs,"Contact with Infected Animals, Raw Meat","Cat contact, Undercooked meat",Irregular sleep,High stress,Low,Family history of infections,"Low-fat, High-protein diet",Cat allergens,All seasons,"Adults, Pregnant women",Both genders,Avoids undercooked meat,Avoids cat litter,None specific,None specific,"Garlic (2 cloves), Turmeric (1/2 tsp), Warm water (200ml)","Vata, Pitta",Vata-Kapha,Focus on immune-boosting foods; avoid raw meats and contaminated water.,None specific,Antiprotozoal Medications,"Avoid Raw Meat, Cook Meat Well",Can Be Managed with Medication,"Neurological Issues, Eye Damage","Avoid Raw Meat, Good Hygiene",Research on Toxoplasmosis Treatment
Trachoma,ट्राकोमा,ट्राकोमा,"Eye irritation, swelling, blurred vision","Physical Exam, Eye Swab",Moderate to Severe,1-2 weeks,"Bacterial infection, Poor hygiene","Antibiotics, Surgery (advanced cases)","Poor Sanitation, Lack of Hygiene","Poor sanitation, Dusty environment",Irregular sleep,High stress,Low,Family history of eye conditions,"Balanced, High-fiber diet","Dust, Pollen",All seasons,All ages,Both genders,Requires hygiene practices,Avoids eye strain,None specific,None specific,"Aloe Vera (2 tsp), Neem leaves (5-6), Water (as needed)",Pitta,Pitta-Prakriti,Practice eye hygiene; avoid sharing towels; use protective eyewear.,None specific,"Antibiotics, Surgery","Good Hygiene, Safe Water",Can Be Prevented with Hygiene,"Blindness, Eyelid Deformities","Good Hygiene, Regular Eye Checks",Research on Trachoma Treatment
Trichinellosis,ट्राइकिनेलोसिस,ट्राइकिनेलोसिस,"Muscle pain, fever, swelling, headache","Blood Tests, Muscle Biopsy",Severe,2-4 weeks,"Parasitic infection, Undercooked meat",Antiparasitic drugs,Consumption of Undercooked Meat,Undercooked pork or wild meat,Irregular sleep,High stress,Low,No family history,"Low-fat, High-protein diet",None,"Winter, Summer",Adults,Both genders,Avoids undercooked meat,Avoids unsanitary areas,None specific,None specific,"Turmeric (1/2 tsp), Garlic (2 cloves), Warm water (200ml)","Vata, Kapha",Vata-Kapha,Avoid undercooked pork; maintain good digestive health.,None specific,Anthelmintic Medications,Cook Meat Thoroughly,Can Be Managed with Medication,"Muscle Pain, Breathing Issues","Cook Meat Thoroughly, Good Hygiene",Research on Trichinellosis Treatment
Trichuriasis,ट्रिचुरियासिस,ट्रिचुरियासिस,"Abdominal pain, diarrhea, blood in stool","Stool Tests, Blood Tests",Moderate to Severe,1-2 weeks,"Parasitic infection, Poor sanitation",Antiparasitic drugs,Contact with Contaminated Soil,"Poor sanitation, Contaminated water",Irregular sleep,High stress,Low,No family history,"Hydrating, Low-sugar diet",None,Rainy season,Children,Both genders,Avoids contaminated water,Avoids unsanitary areas,None specific,None specific,"Neem leaves (5-6), Garlic (2 cloves), Warm water (200ml)","Vata, Pitta",Vata-Kapha,Avoid contaminated water and food; support digestive health with fiber.,None specific,Anthelmintic Medications,"Good Hygiene, Sanitation",Can Be Managed with Medication,"Abdominal Pain, Diarrhea","Good Hygiene, Safe Water",Research on Trichuriasis Treatment
Tuberculosis,तपेदिक,क्षय रोग,"Persistent cough, chest pain, fatigue, night sweats","Chest X-ray, Sputum Test, Blood Tests",Severe,6-12 months,"Respiratory infection, Poor hygiene",Antibiotics,"Close Contact, Poor Sanitation","Poor hygiene, Close contact",Irregular sleep,High stress,Low,Family history of TB,"Low-fat, High-protein diet","Dust, Air pollutants",All seasons,"Adults, Elderly",Both genders,Requires medication regimen,Avoids crowded areas,None specific,None specific,"Neem leaves (5-6), Turmeric (1/2 tsp), Warm water (200ml)",Pitta,Pitta-Prakriti,Follow a TB treatment plan; avoid smoking and focus on lung health.,Breathing Exercises,Antibiotics,"Good Hygiene, Vaccination",Can Be Managed with Treatment,"Lung Damage, Drug Resistance","Regular Monitoring, Complete Course",Research on Tuberculosis Treatment
Tularemia,टुलारेमिया,टुलारेमिया,"Fever, fatigue, swollen lymph nodes, cough","Blood Tests, PCR Test",Severe,1-2 weeks,"Animal contact, Insect bites",Antibiotics,Contact with Infected Animals,"Animal contact, Insect bites",Irregular sleep,High stress,Low,No family history,"Balanced, High-protein diet",None,"Spring, Summer","Adults, Children",Both genders,Avoids insect exposure,Avoids animal contact,None specific,None specific,"Ashwagandha (5g), Neem leaves (5-6), Warm water (200ml)","Vata, Pitta",Vata-Kapha,Focus on boosting immunity; avoid insect bites and infected animals.,None specific,Antibiotics,"Avoid Animal Contact, Good Hygiene",Can Be Managed with Medication,"Organ Damage, Fever","Avoid Animal Contact, Good Hygiene",Research on Tularemia Treatment
Tungiasis,टंगियासिस,टंगियासिस,"Intense itching, swelling, presence of sand fleas","Physical Exam, Skin Biopsy",Moderate to Severe,1-2 weeks,"Parasitic infection, Sand flea",Antiparasitic drugs,Walking Barefoot in Contaminated Areas,Sand flea exposure,Irregular sleep,High stress,Low,No family history,"Low-fat, High-protein diet",None,All seasons,All ages,Both genders,Avoids sand flea exposure,Avoids unsanitary areas,None specific,None specific,"Turmeric (1/2 tsp), Neem leaves (5-6), Water (as needed)",Pitta,Pitta-Prakriti,Avoid walking barefoot in sandy areas; focus on skin health.,None specific,"Removal of Parasite, Topical Medications",Avoid Walking Barefoot in Contaminated Areas,Can Be Managed with Treatment,"Secondary Infections, Skin Damage",Avoid Walking Barefoot in Contaminated Areas,Research on Tungiasis Treatment
Type 1 Diabetes,टाइप 1 डायबिटीज,टाइप 1 डायबिटीज,"Increased thirst, frequent urination, weight loss","Blood Tests, Urine Tests",Severe,Lifelong,"Genetic, Insulin deficiency","Insulin therapy, Diabetes meds","Genetics, Autoimmune Issues","Poor diet, Lack of exercise",Irregular sleep,High stress,Low,Family history of diabetes,"Low-carb, High-protein diet",None,All seasons,"Children, Adults",Both genders,Requires monitoring glucose levels,Avoids sugary foods,"Herbal Remedies, Diet Changes","Bitter Melon, Gymnema Sylvestre","Fenugreek (3g), Cinnamon (1/2 tsp), Warm water (200ml)","Kapha, Pitta",Kapha-Pitta,"Focus on a low-carb, high-fiber diet; maintain regular physical activity.",Regular Exercise,"Insulin Therapy, Blood Sugar Monitoring","Healthy Diet, Regular Exercise",Can Be Managed with Insulin Therapy,"Heart Disease, Nerve Damage","Regular Monitoring, Insulin Therapy",Research on Type 1 Diabetes Management
Typhus,टायफस,टायफस,"Fever, rash, headache, muscle aches","Blood Tests, Serology Tests",Severe,1-2 weeks,"Bacterial infection, Lice or flea bites",Antibiotics,Contact with Infected Fleas,"Poor hygiene, Insect exposure",Irregular sleep,High stress,Low,No family history,"Balanced, High-fiber diet",Lice allergens,Rainy season,All ages,Both genders,Avoids insect bites,Avoids unsanitary areas,None specific,None specific,"Neem leaves (5-6), Garlic (2 cloves), Warm water (200ml)",Pitta,Pitta-Prakriti,Stay hydrated; maintain good hygiene and avoid contaminated environments.,None specific,Antibiotics,"Avoid Flea Bites, Good Hygiene",Can Be Managed with Medication,"Organ Damage, Sepsis","Avoid Flea Bites, Good Hygiene",Research on Typhus Treatment
Ulcerative Colitis,अल्सरेटिव कोलाइटिस,अल्सरेटिव कोलाइटिस,"Abdominal pain, diarrhea, blood in stool","Colonoscopy, Blood Tests",Severe,Lifelong,"Autoimmune, Digestive issues","Anti-inflammatory drugs, Immunosuppressants","Genetics, Infections","Poor diet, Stress, Genetics",Irregular sleep,High stress,Moderate to low,Family history of UC,"Low-fat, High-protein diet",Dairy allergens,All seasons,Adults,Both genders,Requires stress management,Avoids spicy foods,None specific,None specific,"Triphala (1 tsp), Ginger (2g), Warm water (200ml)","Vata, Pitta",Vata-Kapha,Focus on gut health; avoid spicy foods and processed sugars.,None specific,"Anti-inflammatory Medications, Surgery","Healthy Diet, Stress Management",Can Be Managed with Medication,"Colon Cancer, Bowel Perforation","Regular Monitoring, Healthy Diet",Research on Ulcerative Colitis Treatment
